ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000001520949724;2020-12-12;00:49:41;419447608505;365;1;Succeeded;26.919089;26.919079;1.474978;Canvas;4_pass;Winder;47.421928;51.504615;66.794480;69.109823;43.960000;46.786000;59.907000;72.523000;Wide
00000000001525761033;2020-12-12;02:02:29;423815195377;366;1;Succeeded;26.552144;26.552142;1.474978;Canvas;4_pass;Winder;44.859190;48.216887;64.058659;65.744103;41.584000;43.800000;60.849000;68.991000;Wide
00000000001528563559;2020-12-12;02:51:46;426772072325;367;1;Succeeded;15.088785;15.088772;1.474978;Canvas;4_pass;Winder;23.469903;27.788550;37.889542;37.618038;21.756000;25.243000;35.991000;39.476000;Wide
00000000001533466539;2020-12-12;04:07:43;431328875070;368;1;Succeeded;26.733796;26.733789;1.474978;Canvas;4_pass;Winder;43.011018;53.333808;67.717836;70.696108;39.871000;48.448000;64.325000;74.188000;Wide
00000000001538344474;2020-12-12;05:26:14;436039886525;369;1;Succeeded;26.640367;26.640367;1.474978;Canvas;4_pass;Winder;50.555628;53.194260;70.149516;64.599425;45.879000;48.321000;66.635000;67.790000;Wide
00000000001543171073;2020-12-12;06:36:41;440267040302;370;1;Succeeded;26.322655;26.322654;1.474978;Canvas;4_pass;Winder;43.067558;50.583485;66.085692;65.663734;39.083000;45.950000;62.774000;68.907000;Wide
00000000001548066398;2020-12-12;07:54:35;444940488171;371;1;Succeeded;26.934033;26.934018;1.474978;Canvas;4_pass;Winder;41.086715;54.554031;64.758255;65.391748;37.286000;49.556000;61.513000;68.622000;Wide
00000000001553084853;2020-12-12;09:08:27;449373112492;372;1;Succeeded;27.547274;27.547274;1.474978;Canvas;4_pass;Winder;42.385323;46.398723;59.681597;63.558487;38.464000;42.148000;56.691000;66.698000;Wide
00000000001558316545;2020-12-12;10:37:29;454714843009;373;1;Succeeded;27.189218;27.189205;1.474978;Canvas;4_pass;Winder;40.859832;46.884941;63.240762;65.849649;37.080000;42.590000;60.072000;57.269000;Wide
00000000001563329345;2020-12-12;12:23:02;461047888184;374;1;Failed;27.085756;26.656804;1.474978;Canvas;4_pass;Winder;43.634635;48.204077;62.170124;66.861995;39.598000;43.788000;59.055000;58.149000;Wide
00000000001563329350;2020-12-12;12:23:02;461047888525;374;2;Failed;7.589732;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001564790021;2020-12-12;12:53:56;462901237692;375;1;Succeeded;7.589732;7.589727;1.474978;Canvas;4_pass;Winder;13.233417;13.598885;17.055931;18.905923;12.009000;12.353000;16.201000;16.442000;Wide
00000000001568644680;2020-12-12;14:43:24;469469462458;376;1;Failed;26.408846;19.713715;1.479973;Canvas;4_pass;Winder;32.349245;36.077333;48.751352;55.446269;29.356000;32.772000;46.308000;48.221000;Wide
